model,method,action_list_len,image_size,MAE,match_ratio
gpt4o,cot,3.0,683520.0,78.4530975877193,1.0
gpt4o,cot,169.0,9012480.0,66.47349419358054,0.14793
gpt4o,cot,6.0,1075200.0,102.82742973663522,0.83333
gpt4o,cot,2.0,1968000.0,75.61500782203908,1.0
gpt4o,cot,5.0,6374400.0,23.85820488457207,1.0
gpt4o,cot,5.0,2469120.0,59.44527290962838,1.0
gpt4o,cot,4.0,387840.0,94.86415340015724,1.0
gpt4o,cot,1.0,1098240.0,52.24219978380504,1.0
gpt4o,cot,20.0,1115520.0,61.92494349449686,1.0
gpt4o,cot,6.0,399360.0,117.80040536556604,1.0
gpt4o,cot,4.0,1910400.0,2.010949783805032,1.0
gpt4o,cot,94.0,9216000.0,98.68042470894608,0.28723
gpt4o,cot,7.0,1198080.0,51.091931996855344,1.0
gpt4o,cot,38.0,4748160.0,96.52212370728417,0.86842
gpt4o,cot,4.0,460800.0,90.28665487421384,1.0
gpt4o,cot,5.0,1405440.0,51.63105837264151,1.0
gpt4o,cot,5.0,645120.0,87.46376593854515,1.0
gpt4o,cot,34.0,4391040.0,94.58383868735432,0.76471
gpt4o,cot,6.0,3131520.0,43.485357562884026,1.0
gpt4o,cot,3.0,1136640.0,51.118229166666666,1.0
gpt4o,cot,3.0,1075200.0,63.635207841981135,1.0
gpt4o,cot,27.0,3515520.0,66.12485058060109,0.96296
gpt4o,cot,13.0,2784000.0,108.06150488449914,1.0
gpt4o,cot,25.0,1760640.0,52.97664602987421,0.8
gpt4o,cot,46.0,10801920.0,119.60972671216476,0.95652
gpt4o,cot,4.0,1543680.0,37.94283608490566,1.0
gpt4o,cot,24.0,5093760.0,101.11383375563064,0.83333
gpt4o,cot,1.0,1910400.0,7.8788006092767295,1.0
gpt4o,cot,3.0,1910400.0,17.909399567610063,1.0
gpt4o,cot,46.0,4208640.0,81.18569946289062,0.23913
gpt4o,cot,7.0,2138880.0,53.439352411372006,1.0
gpt4o,cot,255.0,3822720.0,80.19654459305274,0.06667
gpt4o,cot,57.0,12019200.0,119.21284915737792,0.94737
gpt4o,cot,1.0,1927680.0,4.987176673689139,1.0
gpt4o,cot,5.0,1689600.0,88.77136488970588,1.0
gpt4o,cot,29.0,3884160.0,65.14379728448363,0.58621
gpt4o,cot,37.0,2250240.0,70.05816180889423,0.83784
gpt4o,cot,2.0,2705280.0,77.33991666666667,1.0
gpt4o,cot,6.0,1827840.0,57.8221287693944,1.0
gpt4o,cot,3.0,737280.0,75.92211821933962,1.0
gpt4o,cot,69.0,6952320.0,98.58527444649448,0.28986
gpt4o,cot,39.0,1089600.0,69.38409126779155,0.35897
gpt4o,cot,4.0,629760.0,80.91613846305032,1.0
gpt4o,cot,13.0,3008640.0,53.553682054356514,0.84615
gpt4o,cot,17.0,5360640.0,96.41377027107008,0.94118
gpt4o,cot,4.0,864000.0,82.8039480149371,1.0
gpt4o,cot,139.0,7929600.0,91.4695022540266,0.07914
gpt4o,cot,69.0,7916160.0,90.6939803265056,0.3333299999999999
gpt4o,cot,89.0,5441280.0,80.88228376384875,0.23596
gpt4o,cot,152.0,4368000.0,79.27986050829475,0.13816
gpt4o,cot,41.0,8115840.0,90.67583176185344,0.68293
gpt4o,cot,1.0,1557120.0,89.44126339553357,1.0
gpt4o,cot,29.0,2964480.0,58.02205463047445,0.6206900000000001
gpt4o,cot,8.0,1589760.0,25.65702142295597,1.0
gpt4o,cot,4.0,844800.0,73.7365271226415,1.0
gpt4o,cot,5.0,1981440.0,56.49778680279982,1.0
gpt4o,cot,1.0,1263360.0,50.4780881485849,1.0
gpt4o,cot,125.0,5145600.0,84.24208077185793,0.16
gpt4o,cot,5.0,1221120.0,48.96181456367925,1.0
gpt4o,cot,1.0,1013760.0,62.85307586477988,1.0
gpt4o,cot,65.0,3709440.0,65.09063192052166,0.15385
gpt4o,cot,344.0,7718400.0,79.44481248596452,0.03779
gpt4o,cot,8.0,637440.0,86.47939760220126,1.0
gpt4o,cot,22.0,2795520.0,47.26552264551117,0.68182
gpt4o,cot,33.0,14893440.0,80.97136541070005,0.8787900000000001
gpt4o,cot,5.0,929280.0,63.4127358490566,1.0
gpt4o,cot,2.0,4992000.0,58.30649250440917,1.0
gpt4o,cot,3.0,552960.0,91.44079039977476,1.0
gpt4o,cot,15.0,8580480.0,99.56261593892694,1.0
gpt4o,cot,3.0,2494080.0,4.673328184694365,1.0
gpt4o,cot,75.0,9191040.0,105.33638211382114,0.29333
gpt4o,cot,6.0,1910400.0,1.5509188286163522,0.83333
gpt4o,cot,4.0,664320.0,86.6586699095912,1.0
gpt4o,cot,70.0,3964800.0,103.44907103466386,0.18571
gpt4o,cot,117.0,4396800.0,88.10838857323232,0.13675
gpt4o,cot,47.0,6539520.0,70.41662371600115,0.51064
gpt4o,cot,8.0,374400.0,108.44161261792452,0.875
